EVENT_ID  ISSUE_ID  TYPE                CREATION_DATE               ACTOR      TITLE
​ 4017166084 32165 | mentioned | 2020-11-19T17:52:29Z | spahno | Fix focus for dropdown items
​ 4017147067 32204 | moved_columns_in_project | 2020-11-19T17:47:55Z | ffoodd | Fix a few typos
​ 4017058155 32187 | head_ref_force_pushed | 2020-11-19T17:27:27Z | MartijnCuppens | Manually optimize SVGs
​ 4016929598 32200 | closed | 2020-11-19T17:02:24Z | mdo | v5: Prepend and append items into floating-labels
​ 4016836208 29315 | labeled | 2020-11-19T16:45:03Z | XhmikosR | Add pa11y-ci for automated accessibility tests
​ 4016787668 32207 | labeled | 2020-11-19T16:34:53Z | ffoodd | feat(grid): simplify gutters usage
​ 4016787667 32207 | labeled | 2020-11-19T16:34:53Z | ffoodd | feat(grid): simplify gutters usage
​ 4016715539 32206 | subscribed | 2020-11-19T16:20:18Z | mdo | Revert colors.yml accidental changes
​ 4016715535 32206 | mentioned | 2020-11-19T16:20:18Z | mdo | Revert colors.yml accidental changes
​ 4016669998 32206 | added_to_project | 2020-11-19T16:11:15Z | XhmikosR | Revert colors.yml accidental changes
​ 4016669955 32206 | labeled | 2020-11-19T16:11:14Z | XhmikosR | Revert colors.yml accidental changes
​ 4016669950 32206 | labeled | 2020-11-19T16:11:14Z | XhmikosR | Revert colors.yml accidental changes
​ 4016647534 32205 | labeled | 2020-11-19T16:06:53Z | XhmikosR | Clean up .gitignore
​ 4016630901 32204 | added_to_project | 2020-11-19T16:03:39Z | XhmikosR | Fix a few typos
​ 4016630874 32204 | review_requested | 2020-11-19T16:03:39Z | XhmikosR | Fix a few typos
​ 4016630871 32204 | review_requested | 2020-11-19T16:03:39Z | XhmikosR | Fix a few typos
​ 4016630863 32204 | labeled | 2020-11-19T16:03:39Z | XhmikosR | Fix a few typos
​ 4016630862 32204 | labeled | 2020-11-19T16:03:39Z | XhmikosR | Fix a few typos
​ 4016589248 29019 | head_ref_force_pushed | 2020-11-19T15:55:48Z | XhmikosR | v5: Playground for new ideas
​ 4016573344 29019 | head_ref_force_pushed | 2020-11-19T15:52:40Z | XhmikosR | v5: Playground for new ideas
​ 4016560599 29019 | head_ref_force_pushed | 2020-11-19T15:50:05Z | XhmikosR | v5: Playground for new ideas
​ 4016543091 29019 | head_ref_force_pushed | 2020-11-19T15:46:37Z | XhmikosR | v5: Playground for new ideas
​ 4016537022 32181 | head_ref_force_pushed | 2020-11-19T15:45:20Z | XhmikosR | V4 dev backports and updates
​ 4016537008 32198 | referenced | 2020-11-19T15:45:20Z | XhmikosR | examples: add the version number in `title`
​ 4016536999 32189 | referenced | 2020-11-19T15:45:20Z | XhmikosR | docs(dropdowns): clarify where is `.show` applied
​ 4016536989 32182 | referenced | 2020-11-19T15:45:20Z | XhmikosR | Update karma.conf.js
​ 4016536978 32178 | referenced | 2020-11-19T15:45:20Z | XhmikosR | Handle Chromium to run Karma
​ 4016499088 29283 | head_ref_force_pushed | 2020-11-19T15:37:59Z | XhmikosR | Use Hugo mounts for our docs vendor files.
​ 4016445107 32158 | removed_from_project | 2020-11-19T15:27:12Z | XhmikosR | Switch to jsDelivr for the remaining docs assets
​ 4016444305 32203 | added_to_project | 2020-11-19T15:27:02Z | XhmikosR | Backport #32158
​ 4016444268 32203 | labeled | 2020-11-19T15:27:01Z | XhmikosR | Backport #32158
​ 4016444263 32203 | labeled | 2020-11-19T15:27:01Z | XhmikosR | Backport #32158
​ 4016444260 32203 | labeled | 2020-11-19T15:27:01Z | XhmikosR | Backport #32158
​ 4016438852 32201 | added_to_project | 2020-11-19T15:25:57Z | XhmikosR | fix(container): use $variable-prefix
​ 4016437431 32158 | referenced | 2020-11-19T15:25:41Z | XhmikosR | Switch to jsDelivr for the remaining docs assets
​ 4016434013 32202 | added_to_project | 2020-11-19T15:25:03Z | XhmikosR | docs: update selector CodePen example
​ 4016433981 32202 | labeled | 2020-11-19T15:25:03Z | XhmikosR | docs: update selector CodePen example
​ 4016433980 32202 | labeled | 2020-11-19T15:25:03Z | XhmikosR | docs: update selector CodePen example
​ 4016415873 32201 | review_requested | 2020-11-19T15:21:39Z | ffoodd | fix(container): use $variable-prefix
​ 4016415864 32201 | labeled | 2020-11-19T15:21:39Z | ffoodd | fix(container): use $variable-prefix
​ 4016415863 32201 | labeled | 2020-11-19T15:21:39Z | ffoodd | fix(container): use $variable-prefix
​ 4005982738 32178 | review_requested | 2020-11-17T15:13:30Z | ffoodd | Handle Chromium to run Karma
​ 4005982734 32178 | labeled | 2020-11-17T15:13:30Z | ffoodd | Handle Chromium to run Karma
​ 4005982732 32178 | labeled | 2020-11-17T15:13:30Z | ffoodd | Handle Chromium to run Karma
​ 4005982684 31608 | moved_columns_in_project | 2020-11-17T15:13:29Z | XhmikosR | Add baseof.html layout to docs
​ 4005982394 31608 | added_to_project | 2020-11-17T15:13:26Z | XhmikosR | Add baseof.html layout to docs
​ 4005976571 32077 | head_ref_force_pushed | 2020-11-17T15:12:22Z | XhmikosR | v4: switch to Hugo
​ 4005937002 32174 | head_ref_deleted | 2020-11-17T15:05:04Z | coliff | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005885246 32177 | subscribed | 2020-11-17T14:55:11Z | mdo | examples: fix `.btn-block` instances
​ 4005885239 32177 | mentioned | 2020-11-17T14:55:11Z | mdo | examples: fix `.btn-block` instances
​ 4005878256 32174 | moved_columns_in_project | 2020-11-17T14:53:52Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005878209 32174 | closed | 2020-11-17T14:53:51Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005878199 32174 | merged | 2020-11-17T14:53:51Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005878197 32174 | referenced | 2020-11-17T14:53:51Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005878138 32177 | moved_columns_in_project | 2020-11-17T14:53:50Z | ffoodd | examples: fix `.btn-block` instances
​ 4005875980 32163 | review_requested | 2020-11-17T14:53:25Z | XhmikosR | docs: update selector CodePen example
​ 4005848656 32174 | moved_columns_in_project | 2020-11-17T14:48:29Z | ffoodd | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005839023 31608 | removed_from_project | 2020-11-17T14:46:43Z | XhmikosR | Add baseof.html layout to docs
​ 4005822634 32176 | head_ref_deleted | 2020-11-17T14:43:38Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005822527 32176 | moved_columns_in_project | 2020-11-17T14:43:37Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005822501 32176 | closed | 2020-11-17T14:43:37Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005822492 32176 | merged | 2020-11-17T14:43:37Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005822485 32176 | referenced | 2020-11-17T14:43:37Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005799775 32176 | moved_columns_in_project | 2020-11-17T14:39:30Z | ffoodd | docs: use `expanded` Sass output style for development
​ 4005779197 32175 | head_ref_deleted | 2020-11-17T14:35:34Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005779120 32175 | moved_columns_in_project | 2020-11-17T14:35:34Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005779081 32175 | closed | 2020-11-17T14:35:33Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005779064 32175 | merged | 2020-11-17T14:35:33Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005779060 32175 | referenced | 2020-11-17T14:35:33Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005769902 32175 | moved_columns_in_project | 2020-11-17T14:33:45Z | ffoodd | skippy.html: reduce whitespace output
​ 4005617411 32173 | review_requested | 2020-11-17T14:03:47Z | XhmikosR | Make the attribute methods bs specific
​ 4005611138 32177 | moved_columns_in_project | 2020-11-17T14:02:32Z | XhmikosR | examples: fix `.btn-block` instances
​ 4005610369 32177 | added_to_project | 2020-11-17T14:02:23Z | XhmikosR | examples: fix `.btn-block` instances
​ 4005610316 32177 | labeled | 2020-11-17T14:02:22Z | XhmikosR | examples: fix `.btn-block` instances
​ 4005610314 32177 | labeled | 2020-11-17T14:02:22Z | XhmikosR | examples: fix `.btn-block` instances
​ 4005578580 31608 | moved_columns_in_project | 2020-11-17T13:55:48Z | XhmikosR | Add baseof.html layout to docs
​ 4005578307 31608 | added_to_project | 2020-11-17T13:55:45Z | XhmikosR | Add baseof.html layout to docs
​ 4005573347 31608 | moved_columns_in_project | 2020-11-17T13:54:48Z | XhmikosR | Add baseof.html layout to docs
​ 4005573288 31608 | closed | 2020-11-17T13:54:48Z | XhmikosR | Add baseof.html layout to docs
​ 4005573269 31608 | merged | 2020-11-17T13:54:48Z | XhmikosR | Add baseof.html layout to docs
​ 4005573260 31608 | referenced | 2020-11-17T13:54:48Z | XhmikosR | Add baseof.html layout to docs
​ 4005544662 32174 | moved_columns_in_project | 2020-11-17T13:48:55Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005535436 32176 | moved_columns_in_project | 2020-11-17T13:46:59Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005535322 32175 | moved_columns_in_project | 2020-11-17T13:46:57Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005502527 32176 | head_ref_force_pushed | 2020-11-17T13:40:23Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005494126 32176 | added_to_project | 2020-11-17T13:38:34Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005494088 32176 | labeled | 2020-11-17T13:38:33Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005494085 32176 | labeled | 2020-11-17T13:38:33Z | XhmikosR | docs: use `expanded` Sass output style for development
​ 4005490820 32175 | added_to_project | 2020-11-17T13:37:51Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005490772 32175 | labeled | 2020-11-17T13:37:50Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005490768 32175 | labeled | 2020-11-17T13:37:50Z | XhmikosR | skippy.html: reduce whitespace output
​ 4005464159 29494 | closed | 2020-11-17T13:31:52Z | XhmikosR | Improve accessibility of carousel caption
​ 4005428081 31694 | moved_columns_in_project | 2020-11-17T13:23:49Z | XhmikosR | Add new border-color and background-color utilities
​ 4005427429 32117 | moved_columns_in_project | 2020-11-17T13:23:42Z | XhmikosR | Update _syntax.scss
​ 4005427114 30909 | moved_columns_in_project | 2020-11-17T13:23:37Z | XhmikosR | Add Parcel Bundler doc
​ 4005426300 32163 | moved_columns_in_project | 2020-11-17T13:23:26Z | XhmikosR | docs: update selector CodePen example
​ 4005426036 32173 | moved_columns_in_project | 2020-11-17T13:23:22Z | XhmikosR | Make the attribute methods bs specific
​ 4005421651 32171 | head_ref_deleted | 2020-11-17T13:22:21Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005421613 32171 | moved_columns_in_project | 2020-11-17T13:22:20Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005421567 32171 | closed | 2020-11-17T13:22:20Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005421561 32171 | merged | 2020-11-17T13:22:20Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005421555 32171 | referenced | 2020-11-17T13:22:20Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005411932 32173 | added_to_project | 2020-11-17T13:20:03Z | XhmikosR | Make the attribute methods bs specific
​ 4005411672 32173 | labeled | 2020-11-17T13:19:59Z | XhmikosR | Make the attribute methods bs specific
​ 4005411668 32173 | labeled | 2020-11-17T13:19:59Z | XhmikosR | Make the attribute methods bs specific
​ 4005411667 32173 | labeled | 2020-11-17T13:19:59Z | XhmikosR | Make the attribute methods bs specific
​ 4005399880 32169 | head_ref_deleted | 2020-11-17T13:17:19Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005399850 32169 | moved_columns_in_project | 2020-11-17T13:17:19Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005399809 32169 | closed | 2020-11-17T13:17:18Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005399795 32169 | merged | 2020-11-17T13:17:18Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005399789 32169 | referenced | 2020-11-17T13:17:18Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005395140 32077 | head_ref_force_pushed | 2020-11-17T13:16:18Z | XhmikosR | v4: switch to Hugo
​ 4005385407 32171 | moved_columns_in_project | 2020-11-17T13:14:02Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005384824 32171 | added_to_project | 2020-11-17T13:13:55Z | XhmikosR | Bump postcss from 8.1.6 to 8.1.7
​ 4005383182 32169 | moved_columns_in_project | 2020-11-17T13:13:34Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005381248 32169 | added_to_project | 2020-11-17T13:13:06Z | XhmikosR | Bump hugo-bin from 0.66.1 to 0.66.2
​ 4005374102 32170 | head_ref_deleted | 2020-11-17T13:11:23Z | XhmikosR | Bump terser from 5.1.0 to 5.4.0
​ 4005373673 32170 | closed | 2020-11-17T13:11:16Z | XhmikosR | Bump terser from 5.1.0 to 5.4.0
​ 4005366442 32174 | added_to_project | 2020-11-17T13:09:33Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005366065 32174 | labeled | 2020-11-17T13:09:27Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005366062 32174 | labeled | 2020-11-17T13:09:27Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005363706 32174 | review_requested | 2020-11-17T13:08:55Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005363704 32174 | review_requested | 2020-11-17T13:08:55Z | XhmikosR | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005361787 32168 | head_ref_deleted | 2020-11-17T13:08:24Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005361758 32168 | moved_columns_in_project | 2020-11-17T13:08:23Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005361736 32168 | closed | 2020-11-17T13:08:23Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005361727 32168 | merged | 2020-11-17T13:08:23Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005361723 32168 | referenced | 2020-11-17T13:08:23Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005361404 32168 | moved_columns_in_project | 2020-11-17T13:08:19Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005360988 32168 | added_to_project | 2020-11-17T13:08:12Z | XhmikosR | Bump rollup from 2.33.1 to 2.33.2
​ 4005344416 32174 | renamed | 2020-11-17T13:04:07Z | coliff | Position Utilities Docs: Fix the marker SVG color to match the button
​ 4005022003 32173 | review_requested | 2020-11-17T11:44:16Z | rohit2sharma95 | Make the attribute methods bs specific
​ 4005011196 31827 | subscribed | 2020-11-17T11:41:27Z | XhmikosR | Add namespace "bs" in the data attributes
​ 4005011195 31827 | mentioned | 2020-11-17T11:41:27Z | XhmikosR | Add namespace "bs" in the data attributes
​ 4004946013 31827 | subscribed | 2020-11-17T11:24:41Z | XhmikosR | Add namespace "bs" in the data attributes
​ 4004946008 31827 | mentioned | 2020-11-17T11:24:41Z | XhmikosR | Add namespace "bs" in the data attributes
​ 4004869200 32123 | subscribed | 2020-11-17T11:05:46Z | alpadev | Refactor data.js to use a `Map`
​ 4004869192 32123 | mentioned | 2020-11-17T11:05:45Z | alpadev | Refactor data.js to use a `Map`
​ 4004616853 31303 | head_ref_force_pushed | 2020-11-17T10:06:23Z | rohit2sharma95 | Keep rounded corners for the first .btn in vertical button group
​ 4004610103 31303 | head_ref_force_pushed | 2020-11-17T10:04:50Z | rohit2sharma95 | Keep rounded corners for the first .btn in vertical button group
​ 4004600385 32171 | review_requested | 2020-11-17T10:02:43Z | dependabot[bot] | Bump postcss from 8.1.6 to 8.1.7
​ 4012353861 32178 | referenced | 2020-11-18T19:21:19Z | XhmikosR | Handle Chromium to run Karma
​ 4012335508 32193 | added_to_project | 2020-11-18T19:16:30Z | XhmikosR | alerts.md: use Markdown
​ 4012335478 32193 | labeled | 2020-11-18T19:16:30Z | XhmikosR | alerts.md: use Markdown
​ 4012335476 32193 | labeled | 2020-11-18T19:16:30Z | XhmikosR | alerts.md: use Markdown
​ 4012317752 32077 | head_ref_force_pushed | 2020-11-18T19:11:51Z | XhmikosR | v4: switch to Hugo
​ 4012317746 32192 | review_requested | 2020-11-18T19:11:51Z | NotWoods | Baseof v4
​ 4012317742 32192 | base_ref_force_pushed | 2020-11-18T19:11:51Z | XhmikosR | Baseof v4
​ 4012305671 32189 | referenced | 2020-11-18T19:08:45Z | XhmikosR | docs(dropdowns): clarify where is `.show` applied
​ 4012303224 32189 | moved_columns_in_project | 2020-11-18T19:08:09Z | XhmikosR | docs(dropdowns): clarify where is `.show` applied
​ 4012269237 32192 | subscribed | 2020-11-18T18:59:19Z | NotWoods | Baseof v4
​ 4012269232 32192 | mentioned | 2020-11-18T18:59:19Z | NotWoods | Baseof v4
​ 4012259330 31098 | moved_columns_in_project | 2020-11-18T18:56:42Z | XhmikosR | Docs: change sidebar collapse controls to actual button elements
​ 4012229753 31608 | head_ref_deleted | 2020-11-18T18:49:33Z | NotWoods | Add baseof.html layout to docs
​ 4012113168 31098 | added_to_project | 2020-11-18T18:20:26Z | XhmikosR | Docs: change sidebar collapse controls to actual button elements
